,User,Profile Picture,Email Address,Phone Number,Communication History,Company Name,Industry,Deal Stage,Deal Value,Win/Loss Status,Upcoming Tasks,Activity Status,Lead Source,Location,Custom Visuals,Creation Date,Last Updated,User Activity
0,Savannah Cortez,https://dummyimage.com/646x621,jennifer06@example.net,(958)861-5017,As order general party. Past close against top process carry somebody.,Turner PLC,Healthcare,Opportunity,50107,Lost,12/30/2023,Ongoing,Yahoo,Spain,6,2/15/2021,12/19/2023,24
1,John Anderson MD,https://dummyimage.com/22x532,alexthomas@example.org,(981)737-7214,Human must trial family. Break return bill line.,"Anthony, Chen and Harrington",Retail,Opportunity,76552,Lost,1/23/2024,Completed,Other,Jordan,3,8/26/2021,12/20/2023,41
2,Amy Williams,https://dummyimage.com/619x819,carlabrooks@example.org,976.520.3848,Seek such agreement head whatever effort hear. Who stage oil remain forget not keep five. Claim want week one who prove.,"Matthews, Barajas and Harrell",Retail,Opportunity,90696,Lost,1/18/2024,o ,X,Tokelau,9,7/15/2022,12/2/2023,88
3,John Reed,https://placekitten.com/759/542,jonathansantos@example.net,951.685.7053,Past plan daughter service. Discuss party pass contain compare none.,Johnson PLC,Healthcare,Lead,99223,Lost,1/21/2024,o ,Other,Kuwait,3,2/6/2020,12/23/2023,47
4,Ashley Castro,https://placekitten.com/616/765,rflowers@example.net,+1-490-956-2702x75637,Person case level culture executive. Main rest threat news son. Fire foot discover always yes dog describe.,Williams-Nixon,Healthcare,Opportunity,47473,Won,1/14/2024,o ,Facebook,Jersey,1,2/6/2021,12/6/2023,71
5,Jacob Owens,https://dummyimage.com/184x1018,pattonsherri@example.com,360-955-0993x09387,Reduce leg country mind serve sing want. With fly learn discover physical major charge. Even strong general explain.,Sweeney and Sons,Technology,Closed Deal,7528,Lost,12/31/2023,Completed,Yahoo,Panama,5,3/16/2023,12/11/2023,83
6,Elizabeth Hood,https://picsum.photos/547/422,mindy33@example.com,(552)422-5779,Subject already speech make. Job occur account amount.,Smith-Donaldson,Technology,Closed Deal,53790,Won,1/4/2024,Ongoing,Website,Spain,2,5/13/2023,12/22/2023,55
7,Robert Arias,https://picsum.photos/735/363,ashleyrobles@example.net,359.972.0971,Drug perhaps score big us. Later parent over result site everyone move.,"Golden, Nelson and Gonzalez",Retail,Closed Deal,69186,Won,1/2/2024,Ongoing,Yahoo,Cayman Islands,10,11/11/2021,12/23/2023,0
8,David Jackson,https://picsum.photos/592/527,ruthmorrow@example.net,5588006998,Month visit exactly yourself hard participant. Pm study financial second.,Henderson and Sons,Retail,Lead,23522,Lost,12/31/2023,Completed,Other,Sri Lanka,2,7/25/2020,12/23/2023,7
9,Melody Johnson,https://placekitten.com/105/400,robert62@example.com,533-318-2187x0846,Major Congress kitchen space woman clearly meet. Close rise free focus material.,"Wright, Jones and Nelson",Healthcare,Proposal,27899,Won,1/26/2024,Completed,Google,Libyan Arab Jamahiriya,9,10/3/2020,12/3/2023,66
