First Name,Last Name,Email,Phone Number,Company Name,Industry,Lead Source,Lead Status,Lead Score,Created Date,Opportunity Amount,Opportunity Stage,Probability of Close,Age,Gender,Location,Product Interest,Last Interaction Date,Contract Type,Contract Start Date,Contract End Date,Monthly Revenue,Support Tickets Open,Support Tickets Closed,Last Email Sent Date,Last Phone Call Date,Last Meeting Date,Email Thread,Notes,Comments
Carol,Hess,tlopez@example.net,001-761-296-6794x6308,Hill-Bartlett,Healthcare,Cold Call,Qualified,65,2023-10-02,77841,Prospecting,0.48340281317902256,45,Male,West Brittanyside,Product C,2023-03-23,Subscription,2022-05-29,2023-11-05,6401,6,6,2023-05-28,2023-09-15,2023-08-09,"['Scene like develop east number. Four audience local easy religious their significant. The week most tough rate.', 'Suggest project head national summer cut. Check executive reason spring administration memory listen.']","['Later list stand. Would front enter something conference heavy.', 'Citizen sign myself finish body family. At itself central sell off area.', 'Almost large teach federal ground. Personal exactly relate.']","['Player impact attack baby factor. Building thing up despite. Hope hundred picture Congress forward.', 'Future black fire center produce beat. Share hundred detail. Land protect nature gun seem debate new.', 'Shake involve I. Against next fund phone source including actually.']"
Kimberly,Hodge,beankatie@example.org,882-636-0497x5084,"Flores, Gould and Lucas",Healthcare,Referral,New,99,2023-07-21,96075,Qualification,0.025254519330644376,40,Female,Whiteberg,Product C,2023-12-28,One-time Purchase,2022-02-11,2023-12-06,4215,1,0,2023-04-17,2023-12-12,2023-10-27,"['Economy run window affect fine support. Finally radio major cut body enjoy. Must sound send money discuss.', 'Before turn kid number. Kitchen century smile mention everyone much service newspaper. Movement lay say quality main end figure full.', 'Care between sound cultural. Least allow data article what name. Mission now front.']","['Top loss look begin walk. Newspaper walk future end outside.', 'Central song while fine section relate my process. Fill maybe listen budget address most teacher. Teacher another responsibility account bag final a.', 'Wonder over on. Always share leave single ok leg. Save hair find.']","['Leave study message finally sea sound available. Set law list so without it choose. Method another week occur skin.', 'Model entire deal under important remember. Improve why candidate service guy across.', 'Side over hear ok every away.']"
Marc,Gill,rosskenneth@example.net,931.334.1500,Santiago-Nichols,Technology,Cold Call,Contacted,2,2022-07-03,25131,Closed Won,0.36512014601218135,43,Female,North Charlesview,Product B,2023-11-28,One-time Purchase,2021-11-27,2023-10-21,7363,10,6,2023-05-10,2023-09-04,2023-04-20,"['Image region majority team fast. Strategy eight money thank unit finish executive.', 'Speak occur church chair present. Likely source address near cultural probably may growth.']","['Town voice sometimes behavior. Range people nation.', 'Artist cell accept some.', 'Another board leader try reflect. Remain common able war theory. Build court green per major marriage here.']","['North decade nation rate. Hit new ask skill offer put. Available against health base camera travel. Surface risk sense several nation change.', 'Change degree throughout six type build above. Phone response standard use.']"
Brendan,Hernandez,josephkeith@example.org,694.263.7849x593,Mcdonald Inc,Technology,Referral,New,3,2022-03-13,93314,Prospecting,0.586587199221172,50,Female,New Shawn,Product C,2023-07-17,Subscription,2022-06-14,2023-03-16,1728,10,1,2023-07-01,2023-08-15,2023-06-27,['American leave attention story notice cup hundred. Happy sense into decide democratic radio.'],"['Have theory model conference radio candidate most trip. Store occur fear blue hard.', 'Face trip determine receive. Doctor single agree expect drop.', 'Evening child yet country ball blood. Lot network design race their contain field. Which air when very.']",['Factor close have father piece spring. Simple young create plan responsibility. New avoid guy current move difference life.']
Zachary,Bailey,taylorjoshua@example.net,+1-373-204-6982,Thompson-Holland,Retail,Social Media,New,44,2022-06-18,9890,Closed Won,0.49954443482891053,39,Female,North Daniel,Product C,2023-03-07,One-time Purchase,2022-08-20,2023-04-08,8312,5,1,2023-07-27,2023-09-27,2024-02-09,"['Represent fine that foot and world despite side. Under part ball worker factor store. Light recently structure now fear blue pressure.', 'Land unit begin teach alone. Check direction cultural. Major central building. As often kind.']","['Let answer work be difficult available everything. Enough enter institution home chance war risk. Your contain federal give serious.', 'Record close risk forward. While reason them final across. Cold yes enjoy some expect TV look.', 'Evening oil reason firm responsibility. Walk discussion daughter. Parent performance thank. Floor partner determine north.']",['Us lawyer two senior glass citizen. Positive term pick accept themselves research. Hard per reveal economic near organization. Ask camera interesting positive bag between degree movement.']
Christopher,Zimmerman,jasonwright@example.net,830.813.3542,"Fitzgerald, Arnold and Ortiz",Manufacturing,Referral,New,11,2020-01-27,25941,Qualification,0.14105302346320214,25,Male,Davidtown,Product C,2024-02-02,Custom,2022-09-01,2023-09-05,713,1,1,2023-07-02,2023-03-21,2023-03-30,"['Identify friend seven person option girl. Fight chance low whatever. Modern travel about not key significant from.', 'Meet close then without difference. Resource population argue clear chair event. Catch Congress more hand house international. Evening which beyond task large.', 'Action sort hand see. Whether foreign step treat imagine book. Laugh factor major. Medical early cell price.']","['Can consider well in. Call baby test him treat another. Throw although example condition save special will.', 'Outside point well accept institution physical road.']","['Music after baby media seven say. Month than reach Mrs during system cultural. Data officer local reflect by.', 'Hit industry movie she. Admit wish anyone stock world beyond process.']"
Eric,Carr,richardsonmichelle@example.net,(221)484-0337,Mcintyre Inc,Retail,Website,Lost,78,2023-09-15,45712,Needs Analysis,0.523186082990379,76,Male,South Brittany,Product C,2023-09-02,Subscription,2022-12-12,2023-07-28,5999,5,2,2023-07-11,2024-02-04,2023-10-16,"['Board maintain knowledge part product especially. Would start also son. Control play determine responsibility mean worry.', 'Onto fall real friend state clear tonight. Religious plan answer real full eye too.']","['Radio son relationship summer. Run garden break.', 'International station star really garden from. Tv theory nothing hotel reflect really play.']","['Newspaper give often maintain matter mention pressure rather. Must line enter treat authority speech head.', 'School she street our administration. Cover behavior leader coach this. Red notice threat set hot. Control truth early upon.', 'Edge kid more you far card democratic. Eight above off heavy.']"
Nicole,Bennett,denisemosley@example.org,372.691.8011,"Washington, Brooks and Maxwell",Technology,Social Media,Qualified,97,2021-02-11,90088,Needs Analysis,0.635634904985655,33,Female,Douglasburgh,Product D,2023-07-26,One-time Purchase,2021-05-30,2023-05-28,8831,3,3,2023-12-13,2023-07-10,2023-04-25,"['Cover meet also fish civil specific author want. Past grow just. Allow head account tree thus.', 'Fight once training. Purpose page any understand party certain. Soldier contain care onto party material amount. Cultural indeed style glass hundred especially.', 'With live young see summer last same. Husband possible least institution. Order you arrive image upon cell page different.']",['Use customer professional over health measure. Want gun woman.'],"['Modern west road hair data type evidence.', 'Rise American recent blue these way music.', 'Reason image per fear. Blood chance class discuss. Expert cup generation yet determine last exist by.']"
Laura,Wilkerson,johnny70@example.org,001-673-604-5109x222,Rodriguez Inc,Healthcare,Website,Lost,70,2021-03-12,24821,Proposal,0.4977457760346914,46,Male,North Kellyborough,Product C,2023-04-25,Custom,2021-09-19,2023-07-03,1877,2,1,2023-07-28,2023-04-12,2023-08-09,"['Different determine help travel condition out. Truth Republican catch worry every sport.', 'Available government project manager truth service move.', 'Summer media section child message quite. Under late kid individual upon somebody positive. The expect effect activity Congress.']","['Upon nothing about challenge cover four newspaper practice. Produce college than.', 'Sit old because face. According between civil letter.', 'Item daughter site. Deep year ask case.']","['Property nature page late particularly. Century crime much style claim goal.', 'Year institution sit teach.', 'Walk candidate kind plan. Which degree be. Shoulder history policy push forget bag style.']"
Amber,Harper,shawn03@example.net,+1-348-773-2508x44816,Davis PLC,Healthcare,Social Media,New,25,2020-04-30,25701,Negotiation,0.7494547470559978,47,Male,Andersonbury,Product C,2023-07-23,One-time Purchase,2021-10-03,2023-08-26,8314,3,3,2023-12-10,2023-06-10,2024-01-31,"['Impact recent particularly visit tell difficult. Eye company stand hold.', 'Spend city entire would wife man require.']",['But position admit in painting few card represent. Baby yeah per position history vote.'],['Baby stay free approach. Operation difficult education truth message. Story simply everybody growth.']
Andrew,Scott,prodriguez@example.net,001-245-854-0495,Rodriguez-Bass,Retail,Referral,New,0,2021-06-09,98704,Closed Lost,0.7537331988583297,68,Female,South Johnmouth,Product A,2024-01-14,Subscription,2023-01-08,2023-08-03,1174,0,0,2023-05-14,2023-08-16,2023-12-18,"['Inside put later simple shake must. Most two whatever issue.', 'Music third late. Often doctor begin research behavior campaign store. Issue each discussion enough economy. Sister public total court rest popular.']","['Edge lead improve. Community up age special able.', 'Buy help nothing visit just majority. Official window control trouble he leg authority water. Wide remember figure into shoulder.', 'Entire go scientist be poor. Our resource newspaper capital wait why yet threat.']",['That since smile table. Life speak behind sound leg. Impact early performance authority staff may security.']
Sandra,Morris,russellmatthew@example.org,560-740-6896x2281,Jenkins LLC,Manufacturing,Website,Contacted,30,2022-11-25,77990,Qualification,0.9218715667035408,75,Female,East Aaronmouth,Product B,2023-06-29,One-time Purchase,2021-02-27,2023-11-22,1224,5,2,2023-10-22,2023-11-22,2024-01-13,"['Not picture major most. End factor create voice business. Challenge international friend southern site break so.', 'Act deal glass usually foot quite. In lawyer news story technology rise would service.']","['Answer sing certainly parent. Set business big fast thousand. Scientist board president million song democratic lose less.', 'Little be name total free civil behavior. Go billion buy economy take type. Campaign condition west difference.', 'Over everyone against place. Sound military allow management future team. Dinner their color low me kind.']",['Conference once player. Mind personal city sense identify boy military year. Particularly entire those enough really much.']
Erica,Compton,ronaldstevens@example.com,001-355-692-0727x64645,"Rocha, Ortiz and Moore",Healthcare,Referral,Qualified,0,2021-02-01,85329,Needs Analysis,0.19099826070933057,18,Male,East Christyborough,Product A,2023-08-29,Custom,2021-08-08,2023-05-16,5646,6,1,2023-11-08,2023-04-17,2023-03-03,"['After interesting hot to plan here blue year.', 'Might attorney woman wife word recently when whatever. All understand establish page red sit without. Star consumer oil prove successful data may.', 'Special foreign while almost.']",['Tree data bar someone. Free decision executive democratic consider. Body perhaps yourself heavy key future tough. Man born claim safe tax up happy.'],['Nice gas away crime social table talk. Despite parent different little. Single assume president future entire gas here power.']
Isaiah,Perry,rhodeslacey@example.com,411.781.7756,Hayes-Fitzgerald,Finance,Website,Qualified,50,2022-07-23,56488,Prospecting,0.06593585817465886,72,Female,South Jessica,Product C,2023-03-01,One-time Purchase,2022-08-28,2023-10-01,7843,6,4,2023-02-27,2023-10-25,2023-11-29,['Spend society explain consider Congress wish matter. Structure again least for high who American.'],['Other ok economic score accept speak fly. Line condition reality community tough else. Also behavior before him special heart. Represent age experience key arrive upon.'],"['Picture care source area hospital paper. Term else analysis simple Congress anyone others American. Pay reason choice cold.', 'Seven affect positive activity among fast great. Make bring ball. Knowledge food popular option.', 'Plant worry son. Indeed end people range design right action score.']"
Sarah,Kennedy,jessebauer@example.com,(202)281-8872x8879,Shah Group,Manufacturing,Referral,Qualified,68,2020-07-19,85275,Qualification,0.1271599580606222,50,Male,North Melissachester,Product C,2023-03-22,Service Agreement,2022-12-02,2023-05-16,121,7,2,2023-02-28,2023-02-26,2023-09-12,"['Enough hospital ahead class. Plant color assume what draw again. Forward marriage capital now truth organization.', 'War whose house suggest third property always. Traditional bit special individual act. Nothing particularly such within.', 'Team fire future girl and. Guess inside build capital rock national.']","['Growth do ago short detail run task. Executive central thousand management program air what. Speak right everything perhaps agency television.', 'Return culture run put. Born effect federal question catch phone. Statement begin data return we region along. Parent budget speak energy ten.']",['Develop job yourself start worry data. Crime cold suggest mother toward.']
David,Valenzuela,jmiller@example.net,606.606.5088x3631,Wall and Sons,Technology,Cold Call,Lost,25,2021-03-12,22845,Negotiation,0.1334067069101056,56,Female,Davidburgh,Product C,2023-11-12,Subscription,2021-05-08,2023-12-24,8336,2,0,2024-02-10,2023-09-20,2023-09-06,"['Indeed boy pattern myself. Institution property film thought shoulder none church. Activity office total by those front doctor.', 'Some magazine himself month list. Crime during explain rich religious including. Throw character none concern cost system.']","['Our around voice also movement. Effect lawyer there laugh good.', 'Pressure modern floor throughout good face. Drop despite book build another PM political.', 'Treatment car guy help rise occur. Imagine box exactly.']",['Account perform lawyer. Ahead country political yourself economy.']
